cid	atc	pert_iname	canonical_smiles	canonical_smiles_stereo	pert_id	inst_id	rna_plate	rna_well	pert_type	pert_dose	pert_dose_unit	pert_time	pert_time_unit	cell_id	cell_type	base_cell_id	precursor_cell_id	modification	sample_type	primary_site	subtype	original_growth_pattern	provider_catalog_id	original_source_vendor	donor_age	donor_sex	donor_ethnicity
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC004_A375_6H_X1_B3_DUO52HI53LO:E11	CPC004_A375_6H_X1	E11	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC004_A375_6H_X2_B3_DUO52HI53LO:E11	CPC004_A375_6H_X2	E11	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC004_A375_6H_X3_B3_DUO52HI53LO:E11	CPC004_A375_6H_X3	E11	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC017_A375_6H_X4_F1B5_DUO52HI53LO:M02	CPC017_A375_6H_X4	M02	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC020_A375_6H_X1_B4_DUO52HI53LO:F21	CPC020_A375_6H_X1	F21	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC020_A375_6H_X2_B4_DUO52HI53LO:F21	CPC020_A375_6H_X2	F21	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC020_A375_6H_X3_B4_DUO52HI53LO:F21	CPC020_A375_6H_X3	F21	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC020_A375_6H_X4_B5_DUO52HI53LO:F21	CPC020_A375_6H_X4	F21	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC020_A375_6H_X5_F1B5_DUO52HI53LO:F21	CPC020_A375_6H_X5	F21	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC017_A375_6H_X2_B4_DUO52HI53LO:M02	CPC017_A375_6H_X2	M02	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
2995	N06AA01	desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CNCCCN1c2ccccc2CCc2ccccc21	BRD-K60762818	CPC017_A375_6H_X3_B4_DUO52HI53LO:M02	CPC017_A375_6H_X3	M02	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	CPC005_A375_24H_X1_B3_DUO52HI53LO:C12	CPC005_A375_24H_X1	C12	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	CPC005_A375_24H_X2_B3_DUO52HI53LO:C12	CPC005_A375_24H_X2	C12	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	CPC005_A375_24H_X3_B3_DUO52HI53LO:C12	CPC005_A375_24H_X3	C12	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	CPC005_A375_6H_X1_B3_DUO52HI53LO:C12	CPC005_A375_6H_X1	C12	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	CPC005_A375_6H_X2_B3_DUO52HI53LO:C12	CPC005_A375_6H_X2	C12	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	CPC005_A375_6H_X3_B3_DUO52HI53LO:C12	CPC005_A375_6H_X3	C12	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	CPC020_A375_6H_X1_B4_DUO52HI53LO:H14	CPC020_A375_6H_X1	H14	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	CPC020_A375_6H_X1_B4_DUO52HI53LO:L24	CPC020_A375_6H_X1	L24	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
