cid	atc	pert_iname	canonical_smiles	canonical_smiles_stereo	pert_id	inst_id	cell_id	det_plate	det_well	pert_mfc_id	pert_dose	pert_dose_unit	pert_type	pert_time	pert_time_unit	cell_type	base_cell_id	precursor_cell_id	modification	sample_type	primary_site	subtype	original_growth_pattern	provider_catalog_id	original_source_vendor	donor_age	donor_sex	donor_ethnicity
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X1_B24:E01	A375	REP.A013_A375_24H_X1_B24	E01	BRD-K38436528-003-26-1	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X1_B24:E02	A375	REP.A013_A375_24H_X1_B24	E02	BRD-K38436528-003-26-1	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X1_B24:E03	A375	REP.A013_A375_24H_X1_B24	E03	BRD-K38436528-003-26-1	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X1_B24:E04	A375	REP.A013_A375_24H_X1_B24	E04	BRD-K38436528-003-26-1	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X1_B24:E05	A375	REP.A013_A375_24H_X1_B24	E05	BRD-K38436528-003-26-1	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X1_B24:E06	A375	REP.A013_A375_24H_X1_B24	E06	BRD-K38436528-003-26-1	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X2_B24:E01	A375	REP.A013_A375_24H_X2_B24	E01	BRD-K38436528-003-26-1	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X2_B24:E02	A375	REP.A013_A375_24H_X2_B24	E02	BRD-K38436528-003-26-1	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X2_B24:E03	A375	REP.A013_A375_24H_X2_B24	E03	BRD-K38436528-003-26-1	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X2_B24:E04	A375	REP.A013_A375_24H_X2_B24	E04	BRD-K38436528-003-26-1	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X2_B24:E05	A375	REP.A013_A375_24H_X2_B24	E05	BRD-K38436528-003-26-1	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X2_B24:E06	A375	REP.A013_A375_24H_X2_B24	E06	BRD-K38436528-003-26-1	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X3_B24:E01	A375	REP.A013_A375_24H_X3_B24	E01	BRD-K38436528-003-26-1	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X3_B24:E02	A375	REP.A013_A375_24H_X3_B24	E02	BRD-K38436528-003-26-1	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
3696	N06AA02	imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	CN(C)CCCN1c2ccccc2CCc2ccccc21	BRD-K38436528	REP.A013_A375_24H_X3_B24:E03	A375	REP.A013_A375_24H_X3_B24	E03	BRD-K38436528-003-26-1	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
