Source,Target,value
5054,alaproclate,-1
3329,alaproclate,-1
56924,alaproclate,-1
1958,alaproclate,-1
7099,alaproclate,-1
581,alaproclate,1
6193,alaproclate,-1
79071,alaproclate,-1
11044,alaproclate,1
1759,alaproclate,-1
10904,alaproclate,-1
2222,alaproclate,-1
8480,alaproclate,-1
9275,alaproclate,-1
1514,alaproclate,-1
9246,alaproclate,1
27095,alaproclate,-1
51056,alaproclate,1
56940,alaproclate,-1
39,alaproclate,1
7088,alaproclate,1
10165,alaproclate,-1
2131,alaproclate,1
10153,alaproclate,-1
10105,alaproclate,-1
55862,alaproclate,-1
6164,alaproclate,-1
1327,alaproclate,-1
6167,alaproclate,-1
10728,alaproclate,-1
10550,alaproclate,-1
6132,alaproclate,-1
10552,alaproclate,-1
4809,alaproclate,-1
6235,alaproclate,-1
1892,alaproclate,-1
262,alaproclate,-1
6631,alaproclate,-1
2720,alaproclate,-1
4060,alaproclate,1
7384,alaproclate,-1
10133,alaproclate,1
8533,alaproclate,-1
7073,alaproclate,-1
5902,alaproclate,-1
9861,alaproclate,-1
4733,alaproclate,-1
3576,alaproclate,-1
9551,alaproclate,-1
9040,alaproclate,-1
9094,alaproclate,-1
22838,alaproclate,1
9882,alaproclate,-1
8027,alaproclate,1
10544,alaproclate,-1
8161,alaproclate,-1
5433,alaproclate,-1
3109,alaproclate,-1
10926,alaproclate,-1
10667,alaproclate,-1
8842,alaproclate,-1
8493,alaproclate,-1
22943,alaproclate,-1
3134,alaproclate,1
54556,alaproclate,-1
6584,alaproclate,-1
3336,alaproclate,-1
4828,alaproclate,-1
8896,alaproclate,-1
10524,alaproclate,-1
518,alaproclate,-1
23705,alaproclate,1
1490,alaproclate,-1
760,alaproclate,1
11321,alaproclate,-1
8408,alaproclate,1
8563,alaproclate,-1
25936,alaproclate,-1
10026,alaproclate,-1
29984,alaproclate,1
57862,alaproclate,-1
4086,alaproclate,1
84288,alaproclate,-1
7837,alaproclate,1
23089,alaproclate,1
5987,alaproclate,-1
23339,alaproclate,1
23317,alaproclate,1
203069,alaproclate,-1
23270,alaproclate,-1
23078,alaproclate,-1
6591,alaproclate,1
283638,alaproclate,1
10413,alaproclate,1
3921,alaproclate,-1
9939,alaproclate,1
6259,alaproclate,1
6136,alaproclate,-1
9107,alaproclate,-1
26152,alaproclate,1
1211,alaproclate,-1
27292,alaproclate,-1
51081,alaproclate,-1
29105,alaproclate,-1
54529,alaproclate,-1
10723,alaproclate,1
29796,alaproclate,-1
51542,alaproclate,1
51514,alaproclate,-1
55131,alaproclate,-1
55347,alaproclate,-1
29107,alaproclate,-1
51619,alaproclate,-1
54540,alaproclate,1
29080,alaproclate,-1
51018,alaproclate,-1
51341,alaproclate,1
10891,alaproclate,-1
79618,alaproclate,1
79159,alaproclate,-1
51510,alaproclate,1
80219,alaproclate,-1
79627,alaproclate,-1
254394,alaproclate,-1
55775,alaproclate,-1
81873,alaproclate,-1
81031,alaproclate,1
83460,alaproclate,-1
81566,alaproclate,1
55860,alaproclate,-1
6155,alaproclate,-1
6205,alaproclate,-1
2034,alaproclate,1
1363,alaproclate,1
4753,alaproclate,1
23334,alaproclate,1
3980,alaproclate,1
22897,alaproclate,1
10636,alaproclate,1
6567,alaproclate,1
9118,alaproclate,1
3627,alaproclate,1
10446,alaproclate,1
64849,alaproclate,1
1381,alaproclate,1
5784,alaproclate,1
55346,alaproclate,1
4143,alaproclate,1
2620,alaproclate,1
9363,alaproclate,1
7694,alaproclate,1
4760,alaproclate,1
6837,alaproclate,1
4908,alaproclate,1
432,alaproclate,1
8654,alaproclate,1
5454,alaproclate,-1
6346,alaproclate,1
5207,alaproclate,1
3906,alaproclate,1
11027,alaproclate,-1
2251,alaproclate,1
4152,alaproclate,1
3043,alaproclate,-1
23037,alaproclate,1
1435,alaproclate,1
1757,alaproclate,1
9182,alaproclate,1
8913,alaproclate,1
1109,alaproclate,1
11237,alaproclate,1
284443,alaproclate,1
4763,alaproclate,1
1741,alaproclate,1
23031,alaproclate,1
8622,alaproclate,1
23264,alaproclate,1
25907,alaproclate,1
26048,alaproclate,1
201134,alaproclate,1
1302,alaproclate,1
7293,alaproclate,1
6752,alaproclate,1
773,alaproclate,1
63982,alaproclate,1
5558,alaproclate,1
26043,alaproclate,1
4650,alaproclate,1
60684,alaproclate,1
60436,alaproclate,1
10023,alaproclate,1
64170,alaproclate,1
51733,alaproclate,1
55124,alaproclate,1
79981,alaproclate,1
9966,alaproclate,1
56006,alaproclate,1
81571,alaproclate,1
3700,alaproclate,1
54552,alaproclate,1
4793,amitriptyline,-1
22926,amitriptyline,1
1454,amitriptyline,1
2690,amitriptyline,-1
4851,amitriptyline,-1
7494,amitriptyline,-1
79071,amitriptyline,-1
25932,amitriptyline,-1
3638,amitriptyline,-1
9143,amitriptyline,1
1786,amitriptyline,1
4125,amitriptyline,-1
8444,amitriptyline,-1
80746,amitriptyline,-1
51635,amitriptyline,-1
55127,amitriptyline,-1
85236,amitriptyline,-1
10318,amitriptyline,-1
29083,amitriptyline,1
3398,amitriptyline,-1
65123,amitriptyline,-1
9289,amitriptyline,-1
51495,amitriptyline,1
51742,amitriptyline,-1
2017,amitriptyline,-1
11137,amitriptyline,1
50865,amitriptyline,-1
3927,amitriptyline,-1
7270,amitriptyline,1
53340,amitriptyline,1
3017,amitriptyline,-1
9989,amitriptyline,1
64077,amitriptyline,1
