Drug	pt	no_cases	total	prr
amitryptiline	5-hydroxyindolacetic acid increased	8	12	0.6666666667
amitryptiline	Abasia	136	1659	0.08197709464
amitryptiline	Abdominal abscess	13	237	0.05485232068
amitryptiline	Abdominal adhesions	41	299	0.1371237458
amitryptiline	Abdominal cavity drainage	1	40	0.025
amitryptiline	Abdominal compartment syndrome	5	35	0.1428571429
amitryptiline	Abdominal discomfort	1034	14497	0.07132510175
amitryptiline	Abdominal distension	558	7202	0.0774784782
amitryptiline	Abdominal hernia	64	550	0.1163636364
amitryptiline	Abdominal hernia obstructive	1	14	0.07142857143
amitryptiline	Abdominal infection	8	144	0.05555555556
amitryptiline	Abdominal injury	1	24	0.04166666667
amitryptiline	Abdominal mass	14	105	0.1333333333
amitryptiline	Abdominal migraine	1	30	0.03333333333
amitryptiline	Abdominal neoplasm	2	32	0.0625
amitryptiline	Abdominal operation	3	71	0.04225352113
amitryptiline	Abdominal pain	1934	16090	0.1201988813
amitryptiline	Abdominal pain lower	97	1175	0.08255319149
amitryptiline	Abdominal pain upper	1059	12523	0.0845644015
amitryptiline	Abdominal rigidity	10	96	0.1041666667
amitryptiline	Abdominal sepsis	9	27	0.3333333333
amitryptiline	Abdominal symptom	2	43	0.04651162791
amitryptiline	Abdominal tenderness	32	143	0.2237762238
amitryptiline	Abdominal wall abscess	2	45	0.04444444444
amitryptiline	Abdominal wall haematoma	6	140	0.04285714286
amitryptiline	Abdominal wall wound	3	13	0.2307692308
amitryptiline	Abdominoplasty	7	51	0.137254902
amitryptiline	Abnormal behaviour	199	6284	0.03166772756
amitryptiline	Abnormal dreams	145	4505	0.03218645949
amitryptiline	Abnormal faeces	31	429	0.07226107226
amitryptiline	Abnormal loss of weight	90	662	0.1359516616
amitryptiline	Abnormal organ growth	1	11	0.09090909091
amitryptiline	Abnormal sensation in eye	5	184	0.02717391304
amitryptiline	Abnormal sleep-related event	24	323	0.07430340557
amitryptiline	Abnormal weight gain	29	906	0.03200883002
amitryptiline	Abortion	17	92	0.1847826087
amitryptiline	Abortion induced	10	283	0.03533568905
amitryptiline	Abortion missed	1	61	0.01639344262
amitryptiline	Abortion spontaneous	73	2003	0.036445332
amitryptiline	Abortion spontaneous incomplete	2	4	0.5
amitryptiline	Abscess	92	802	0.114713217
amitryptiline	Abscess bacterial	1	22	0.04545454545
amitryptiline	Abscess drainage	2	33	0.06060606061
amitryptiline	Abscess fungal	1	5	0.2
amitryptiline	Abscess jaw	2	40	0.05
amitryptiline	Abscess limb	22	316	0.06962025316
amitryptiline	Abscess neck	1	52	0.01923076923
amitryptiline	Abscess oral	10	91	0.1098901099
amitryptiline	Abscess sterile	2	13	0.1538461538
amitryptiline	Abulia	7	452	0.01548672566
amitryptiline	Acalculia	1	2	0.5
amitryptiline	Acarodermatitis	25	113	0.2212389381
amitryptiline	Accelerated hypertension	2	32	0.0625
amitryptiline	Accident	67	802	0.08354114713
amitryptiline	Accidental death	54	388	0.1391752577
amitryptiline	Accidental exposure to product	114	1296	0.08796296296
amitryptiline	Accidental exposure to product by child	11	109	0.1009174312
amitryptiline	Accidental overdose	263	2453	0.1072156543
amitryptiline	Accidental poisoning	6	152	0.03947368421
amitryptiline	Accidental underdose	8	87	0.09195402299
amitryptiline	Accidental use of placebo	1	1	1
amitryptiline	Accident at home	1	36	0.02777777778
amitryptiline	Accident at work	13	127	0.1023622047
amitryptiline	Accommodation disorder	8	207	0.038647343
amitryptiline	Acid base balance abnormal	1	5	0.2
amitryptiline	Acidosis	31	573	0.05410122164
amitryptiline	Acidosis hyperchloraemic	1	22	0.04545454545
amitryptiline	Acid peptic disease	1	7	0.1428571429
amitryptiline	Acinetobacter test positive	3	3	1
amitryptiline	Acne	168	2209	0.07605251245
amitryptiline	Acne conglobata	1	2	0.5
amitryptiline	Acne cystic	3	127	0.02362204724
amitryptiline	Acne pustular	1	16	0.0625
amitryptiline	Acoustic stimulation tests abnormal	13	38	0.3421052632
amitryptiline	Acquired corneal dystrophy	2	5	0.4
amitryptiline	Acquired diaphragmatic eventration	2	21	0.09523809524
amitryptiline	Acquired immunodeficiency syndrome	1	7	0.1428571429
amitryptiline	Acquired oesophageal web	4	27	0.1481481481
amitryptiline	Acrochordon	14	117	0.1196581197
amitryptiline	Acromegaly	2	35	0.05714285714
amitryptiline	Actinic keratosis	25	144	0.1736111111
amitryptiline	Actinomycosis	3	18	0.1666666667
amitryptiline	Activated partial thromboplastin time abnormal	1	6	0.1666666667
amitryptiline	Activated partial thromboplastin time prolonged	15	214	0.07009345794
amitryptiline	Activated partial thromboplastin time ratio increased	1	3	0.3333333333
amitryptiline	Activated partial thromboplastin time shortened	1	26	0.03846153846
amitryptiline	Activities of daily living impaired	115	1625	0.07076923077
amitryptiline	Acute abdomen	15	56	0.2678571429
amitryptiline	Acute chest syndrome	1	9	0.1111111111
amitryptiline	Acute coronary syndrome	46	442	0.1040723982
amitryptiline	Acute disseminated encephalomyelitis	1	9	0.1111111111
amitryptiline	Acute febrile neutrophilic dermatosis	36	102	0.3529411765
amitryptiline	Acute generalised exanthematous pustulosis	19	373	0.0509383378
amitryptiline	Acute graft versus host disease	1	16	0.0625
amitryptiline	Acute graft versus host disease in skin	5	18	0.2777777778
amitryptiline	Acute haemolytic transfusion reaction	1	1	1
amitryptiline	Acute hepatic failure	63	610	0.1032786885
amitryptiline	Acute interstitial pneumonitis	6	34	0.1764705882
amitryptiline	Acute kidney injury	2973	23399	0.1270567118
amitryptiline	Acute left ventricular failure	8	69	0.115942029
amitryptiline	Acute leukaemia	7	37	0.1891891892
amitryptiline	Acute lung injury	24	77	0.3116883117
amitryptiline	Acute lymphocytic leukaemia	7	71	0.0985915493
amitryptiline	Acute lymphocytic leukaemia recurrent	2	18	0.1111111111
amitryptiline	Acute motor-sensory axonal neuropathy	1	53	0.01886792453
amitryptiline	Acute myeloid leukaemia	20	286	0.06993006993
amitryptiline	Acute myeloid leukaemia recurrent	2	15	0.1333333333
amitryptiline	Acute myocardial infarction	110	1205	0.09128630705
amitryptiline	Acute myopia	1	14	0.07142857143
amitryptiline	Acute on chronic liver failure	5	7	0.7142857143
amitryptiline	Acute painful neuropathy of rapid glycaemic control	1	6	0.1666666667
amitryptiline	Acute phase reaction	4	12	0.3333333333
amitryptiline	Acute phosphate nephropathy	2	7	0.2857142857
amitryptiline	Acute polyneuropathy	11	19	0.5789473684
amitryptiline	Acute prerenal failure	7	44	0.1590909091
amitryptiline	Acute psychosis	34	424	0.08018867925
amitryptiline	Acute pulmonary oedema	21	390	0.05384615385
amitryptiline	Acute respiratory distress syndrome	75	922	0.08134490239
amitryptiline	Acute respiratory failure	74	1222	0.06055646481
amitryptiline	Acute sinusitis	8	168	0.04761904762
amitryptiline	Adactyly	6	28	0.2142857143
amitryptiline	Addison's disease	14	109	0.128440367
amitryptiline	Adenocarcinoma	6	59	0.1016949153
amitryptiline	Adenocarcinoma gastric	9	102	0.08823529412
amitryptiline	Adenocarcinoma of colon	6	88	0.06818181818
amitryptiline	Adenocarcinoma of the cervix	3	4	0.75
amitryptiline	Adenocarcinoma pancreas	2	62	0.03225806452
amitryptiline	Adenoidal hypertrophy	3	20	0.15
amitryptiline	Adenoma benign	3	38	0.07894736842
amitryptiline	Adenomyosis	2	38	0.05263157895
amitryptiline	Adenotonsillectomy	2	11	0.1818181818
amitryptiline	Adenovirus infection	9	30	0.3
amitryptiline	Adhesion	4	69	0.05797101449
amitryptiline	Adiposis dolorosa	24	40	0.6
amitryptiline	Adjustment disorder	11	243	0.04526748971
amitryptiline	Adjustment disorder with depressed mood	7	222	0.03153153153
amitryptiline	Adjustment disorder with disturbance of conduct	1	1	1
amitryptiline	Adjustment disorder with mixed anxiety and depressed mood	2	100	0.02
amitryptiline	Administration related reaction	2	40	0.05
amitryptiline	Administration site abscess sterile	1	3	0.3333333333
amitryptiline	Administration site bruise	3	37	0.08108108108
amitryptiline	Administration site cellulitis	2	6	0.3333333333
amitryptiline	Administration site discomfort	2	6	0.3333333333
amitryptiline	Administration site erosion	1	2	0.5
amitryptiline	Administration site injury	4	5	0.8
amitryptiline	Administration site pain	2	28	0.07142857143
