cid	atc	pert_iname	pert_id	pert_count	cell_id_count	inst_id	rna_plate	rna_well	pert_type	pert_dose	pert_dose_unit	pert_time	pert_time_unit	cell_id	cell_type	base_cell_id	precursor_cell_id	modification	sample_type	primary_site	subtype	original_growth_pattern	provider_catalog_id	original_source_vendor	donor_age	donor_sex	donor_ethnicity
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC004_A375_6H_X1_B3_DUO52HI53LO:J08	CPC004_A375_6H_X1	J08	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC004_A375_6H_X2_B3_DUO52HI53LO:J08	CPC004_A375_6H_X2	J08	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC004_A375_6H_X3_B3_DUO52HI53LO:J08	CPC004_A375_6H_X3	J08	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC015_A375_6H_X1_B4_DUO52HI53LO:L09	CPC015_A375_6H_X1	L09	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC015_A375_6H_X2_B4_DUO52HI53LO:L09	CPC015_A375_6H_X2	L09	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC015_A375_6H_X3_B4_DUO52HI53LO:L09	CPC015_A375_6H_X3	L09	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC011_A375_6H_X1_B3_DUO52HI53LO:G10	CPC011_A375_6H_X1	G10	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC011_A375_6H_X2_B3_DUO52HI53LO:G10	CPC011_A375_6H_X2	G10	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC011_A375_6H_X3_B3_DUO52HI53LO:G10	CPC011_A375_6H_X3	G10	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC011_A375_6H_X1_B3_DUO52HI53LO:B03	CPC011_A375_6H_X1	B03	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC011_A375_6H_X2_B3_DUO52HI53LO:B03	CPC011_A375_6H_X2	B03	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	13	CPC011_A375_6H_X3_B3_DUO52HI53LO:B03	CPC011_A375_6H_X3	B03	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	CPC015_A375_6H_X1_B4_DUO52HI53LO:J10	CPC015_A375_6H_X1	J10	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	CPC015_A375_6H_X2_B4_DUO52HI53LO:J10	CPC015_A375_6H_X2	J10	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	CPC015_A375_6H_X3_B4_DUO52HI53LO:J10	CPC015_A375_6H_X3	J10	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:O07	BRAF001_A375_6H_X1	O07	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:O08	BRAF001_A375_6H_X1	O08	trt_cp	2.5	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:O15	BRAF001_A375_6H_X1	O15	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:O16	BRAF001_A375_6H_X1	O16	trt_cp	2.5	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:O23	BRAF001_A375_6H_X1	O23	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:O24	BRAF001_A375_6H_X1	O24	trt_cp	2.5	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:P07	BRAF001_A375_6H_X1	P07	trt_cp	0.625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:P08	BRAF001_A375_6H_X1	P08	trt_cp	0.15625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:P15	BRAF001_A375_6H_X1	P15	trt_cp	0.625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:P16	BRAF001_A375_6H_X1	P16	trt_cp	0.15625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X1_B10:P23	BRAF001_A375_6H_X1	P23	trt_cp	0.625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:O07	BRAF001_A375_6H_X2	O07	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:O08	BRAF001_A375_6H_X2	O08	trt_cp	2.5	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:O15	BRAF001_A375_6H_X2	O15	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
