cid	atc	pert_iname	pert_id	pert_count	cell_id_count	inst_id	cell_id	det_plate	det_well	pert_mfc_id	pert_dose	pert_dose_unit	pert_type	pert_time	pert_time_unit	cell_type	base_cell_id	precursor_cell_id	modification	sample_type	primary_site	subtype	original_growth_pattern	provider_catalog_id	original_source_vendor	donor_age	donor_sex	donor_ethnicity
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X1_B24:F01	A375	REP.A011_A375_24H_X1_B24	F01	BRD-A05186015-003-19-8	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X1_B24:F02	A375	REP.A011_A375_24H_X1_B24	F02	BRD-A05186015-003-19-8	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X1_B24:F03	A375	REP.A011_A375_24H_X1_B24	F03	BRD-A05186015-003-19-8	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X1_B24:F04	A375	REP.A011_A375_24H_X1_B24	F04	BRD-A05186015-003-19-8	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X1_B24:F05	A375	REP.A011_A375_24H_X1_B24	F05	BRD-A05186015-003-19-8	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X1_B24:F06	A375	REP.A011_A375_24H_X1_B24	F06	BRD-A05186015-003-19-8	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X2_B24:F01	A375	REP.A011_A375_24H_X2_B24	F01	BRD-A05186015-003-19-8	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X2_B24:F02	A375	REP.A011_A375_24H_X2_B24	F02	BRD-A05186015-003-19-8	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X2_B24:F03	A375	REP.A011_A375_24H_X2_B24	F03	BRD-A05186015-003-19-8	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X2_B24:F04	A375	REP.A011_A375_24H_X2_B24	F04	BRD-A05186015-003-19-8	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X2_B24:F05	A375	REP.A011_A375_24H_X2_B24	F05	BRD-A05186015-003-19-8	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X2_B24:F06	A375	REP.A011_A375_24H_X2_B24	F06	BRD-A05186015-003-19-8	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
